1.00e+00	0.00e+00
1.51e+00	8.64e-35
2.27e+00	1.14e-34
3.42e+00	1.46e-34
5.16e+00	1.30e-34
7.78e+00	1.76e-34
1.17e+01	1.65e-34
1.77e+01	1.52e-34
2.66e+01	2.02e-34
4.01e+01	1.59e-34
6.05e+01	2.16e-34
9.12e+01	1.53e-34
1.37e+02	1.49e-34
2.07e+02	1.85e-34
3.12e+02	1.42e-34
4.70e+02	1.73e-34
7.09e+02	1.43e-34
1.07e+03	1.73e-34
1.61e+03	1.54e-34
2.43e+03	1.37e-34
3.66e+03	1.89e-34
5.51e+03	1.48e-34
8.31e+03	1.84e-34
1.25e+04	1.51e-34
1.89e+04	1.40e-34
2.84e+04	1.70e-34
4.29e+04	1.51e-34
6.46e+04	2.06e-34
9.74e+04	1.75e-34
1.47e+05	1.86e-34
2.21e+05	1.82e-34
3.33e+05	1.70e-34
5.03e+05	2.12e-34
7.57e+05	1.90e-34
1.14e+06	2.02e-34
1.72e+06	2.06e-34
2.59e+06	1.93e-34
3.91e+06	2.21e-34
5.89e+06	1.96e-34
8.88e+06	2.42e-34
1.34e+07	2.07e-34
2.02e+07	1.97e-34
3.04e+07	2.25e-34
4.58e+07	1.94e-34
6.90e+07	2.33e-34
1.04e+08	2.03e-34
1.57e+08	1.86e-34
2.36e+08	2.04e-34
3.56e+08	1.79e-34
5.37e+08	2.11e-34
8.09e+08	1.78e-34
1.22e+09	1.64e-34
1.84e+09	1.77e-34
2.77e+09	1.51e-34
4.18e+09	1.72e-34
6.29e+09	1.45e-34
9.49e+09	1.44e-34
1.43e+10	1.39e-34
2.15e+10	1.20e-34
3.25e+10	1.32e-34
4.89e+10	1.10e-34
7.38e+10	1.23e-34
1.11e+11	1.01e-34
1.68e+11	8.89e-35
2.53e+11	9.36e-35
3.81e+11	7.84e-35
5.74e+11	8.50e-35
8.65e+11	6.89e-35
1.30e+12	6.18e-35
1.96e+12	6.13e-35
2.96e+12	5.07e-35
4.46e+12	5.77e-35
6.72e+12	4.66e-35
1.01e+13	4.04e-35
1.53e+13	4.48e-35
2.30e+13	3.64e-35
3.47e+13	4.26e-35
5.23e+13	3.43e-35
7.88e+13	2.94e-35
1.19e+14	3.32e-35
1.79e+14	2.73e-35
2.70e+14	3.25e-35
4.07e+14	2.59e-35
6.13e+14	2.22e-35
9.24e+14	2.50e-35
1.39e+15	2.02e-35
2.10e+15	2.35e-35
3.16e+15	1.88e-35
4.77e+15	1.66e-35
7.18e+15	1.75e-35
1.08e+16	1.44e-35
1.63e+16	1.64e-35
2.46e+16	1.30e-35
3.71e+16	1.16e-35
5.59e+16	1.20e-35
8.42e+16	9.87e-36
1.27e+17	1.13e-35
1.91e+17	9.12e-36
2.88e+17	7.71e-36
4.35e+17	8.95e-36
